Participant,Area,Contrast,SizeType,Slope,Offset
IIGL,V3,High,radial,0.50703,2.5285
IIGL,V3,High,polar,1.0579,1.337
IIGL,V3,High,average,0.78248,1.9328
IIGL,V3,High,original_paper,1.0579,1.337
LACR,V1,Low,radial,0.67575,0.062186
LACR,V1,Low,polar,0.16571,4.8662
LACR,V1,Low,average,0.42073,2.4642
LACR,V1,Low,original_paper,0.16571,4.8662
LACR,V1,Mid,radial,0.7226,0.18203
LACR,V1,Mid,polar,0.034749,4.8494
LACR,V1,Mid,average,0.37867,2.5157
LACR,V1,Mid,original_paper,0.034749,4.8494
LACR,V1,High,radial,0.62702,0.84874
LACR,V1,High,polar,0.088484,6.9891
LACR,V1,High,average,0.35775,3.9189
LACR,V1,High,original_paper,0.088484,6.9891
LACR,V2,Low,radial,0.53887,1.6567
LACR,V2,Low,polar,0.45245,3.7595
LACR,V2,Low,average,0.49566,2.7081
LACR,V2,Low,original_paper,0.45245,3.7595
LACR,V2,Mid,radial,0.58017,1.9932
LACR,V2,Mid,polar,0.41805,3.44
LACR,V2,Mid,average,0.49911,2.7166
LACR,V2,Mid,original_paper,0.41805,3.44
LACR,V2,High,radial,0.4271,2.8292
LACR,V2,High,polar,0.56628,3.7828
LACR,V2,High,average,0.49669,3.306
LACR,V2,High,original_paper,0.56628,3.7828
LACR,V3,Low,radial,1.0087,2.9088
LACR,V3,Low,polar,0.69495,4.2763
LACR,V3,Low,average,0.8518,3.5926
LACR,V3,Low,original_paper,0.69495,4.2763
LACR,V3,Mid,radial,1.4028,1.3586
LACR,V3,Mid,polar,0.7605,3.5718
LACR,V3,Mid,average,1.0816,2.4652
LACR,V3,Mid,original_paper,0.7605,3.5718
LACR,V3,High,radial,0.86498,3.8462
LACR,V3,High,polar,0.52335,6.0103
LACR,V3,High,average,0.69416,4.9283
LACR,V3,High,original_paper,0.52335,6.0103 
